,transform_text,Class
53,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass,0
54,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,1
55,know mallika sherawat yesterday find lt url gt,0
56,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss,1
57,sorri call later meet,0
58,tell reach,0
59,ye gauti sehwag odi seri,0
60,gon na pick 1 burger way home ca even move pain kill,0
61,ha ha ha good joke girl situat seeker,0
62,part check iq,0
63,sorri roommat took forev ok come,0
64,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,0
65,valu custom pleas advis follow recent review mob award bonu prize call 09066364589,1
66,today song dedic day song u dedic send ur valuabl frnd first rpli,0
67,urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj,1
68,hear new divorc barbi come ken stuff,1
69,plane give month end,0
70,wah lucki man save money hee,0
71,finish class,0
72,hi babe im home wan na someth xx,0
73,k k perform,0
74,u call,0
75,wait machan call free,0
76,that cool gentleman treat digniti respect,0
77,like peopl much shi pa,0
78,oper lt gt,0
79,still look job much ta earn,0
80,sorri call later,0
81,call ah,0
82,ok way home hi hi,0
83,place man,0
84,yup next stop,0
85,call later network urgnt sm,0
86,real u get yo need 2 ticket one jacket done alreadi use multi,0
87,ye start send request make pain came back back bed doubl coin factori got ta cash nitro,0
88,realli still tonight babe,0
89,ela il download come wen ur free,0
90,yeah stand close catch someth,0
91,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri,0
92,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile,0
93,pleas call custom servic repres 0800 169 6031 guarante cash prize,1
94,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi,0
95,free rington wait collect simpli text password mix 85069 verifi get usher britney fml po box 5249 mk17 92h 450ppw 16,1
96,watch telugu movi wat abt u,0
97,see finish load loan pay,0
98,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u,0
99,see cup coffe anim,0
100,pleas text anymor noth els say,0
101,okay name ur price long legal wen pick u ave x am xx,0
102,still look car buy gone 4the drive test yet,0
103,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,0
104,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,0
105,umma life vava umma love lot dear,0
106,thank lot wish birthday thank make birthday truli memor,0
107,aight hit get cash,0
108,would ip address test consid comput minecraft server,0
109,know grumpi old peopl mom like better lie alway one play joke,0
110,dont worri guess busi,0
111,plural noun research,0
112,go,0
113,ok wif co like 2 tri new thing scare u dun like mah co u said loud,0
114,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm,1
115,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen,0
116,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went,0
117,winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim,1
118,goodo ye must speak friday ratio tortilla need,0
119,hmm uncl inform pay school directli pl buy food,0
120,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,1
121,urgent mobil award bonu caller prize final tri contact u call landlin 09064019788 box42wr29c 150ppm,1
122,new address pair malarki,0
123,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,1
124,go sao mu today done 12,0
125,ü predict wat time ü finish buy,0
126,good stuff,0
127,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,0
128,room,0
129,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0
130,k k much cost,0
131,home,0
132,dear call accomod,0
133,first answer question,0
134,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 sp tyron,1
135,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 150p,1
136,haf msn yiju,0
137,call meet,0
138,check room befor activ,0
139,rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri,1
140,got c lazi type forgot ü lect saw pouch like v nice,0
141,k text way,0
142,sir wait mail,0
143,swt thought nver get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8,0
144,know pl open back,0
145,ye see ya dot,0
146,what staff name take class us,0
147,freemsg repli text randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end,1
148,call check life begin qatar pl pray hard,0
149,k delet contact,0
150,sindu got job birla soft,0
151,wine flow never,0
152,yup thk cine better co need 2 go 2 plaza mah,0
153,ok ur typic repli,0
154,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,0
155,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one,0
156,aaooooright work,0
157,leav hous,0
158,hello love get interview today happi good boy think miss,0
159,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri,1
160,winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810,1
161,keep safe need miss alreadi envi everyon see real life,0
162,new car hous parent new job hand,0
163,love excit day spend make happi,0
164,stop bootydeli invit friend repli see stop send stop frnd 62468,1
165,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil menu,1
166,place ur point e cultur modul alreadi,0
167,urgent tri contact last weekend draw show prize guarante call claim code s89 valid 12hr,1
168,hi frnd best way avoid missunderstd wit belov one,0
169,great escap fanci bridg need lager see tomo,0
170,ye complet form clark also utter wast,0
171,sir need axi bank account bank address,0
172,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,0
173,time come later,0
174,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,0
175,well gon na finish bath good fine night,0
176,let know got money carlo make call,0
177,u still go mall,0
178,turn friend stay whole show wo back til lt gt feel free go ahead smoke lt gt worth,0
179,text doesnt repli let know log,0
180,hi spoke maneesha like know satisfi experi repli toll free ye,0
181,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,0
182,lol u trust,0
183,gentleman treat digniti respect,0
184,guy close,0
185,go noth,0
186,hello handsom find job lazi work toward get back net mummi boytoy miss,0
187,haha awesom minut,0
188,pleas call custom servic repres freephon 0808 145 4742 guarante cash prize,1
189,got xma radio time get,0
190,ju reach home go bath first si use net tell u finish k,0
191,uniqu enough find 30th august,1
192,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great,0
193,hi final complet cours,0
194,stop howev suggest stay someon abl give or everi stool,0
195,hope settl new school year wishin gr8 day,0
196,gud mrng dear hav nice day,0
197,u got person stori,0
198,hamster dead hey tmr meet 1pm orchard mrt,0
199,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,0
200,found enc lt gt,0
201,sent lt gt buck,0
202,hello darlin ive finish colleg txt u finish u love kate xxx,0
203,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,0
204,goodmorn sleep ga,0
205,u call alter 11 ok,0
206,ü say like dat dun buy ericsson oso oredi lar,0
207,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went,0
208,aight yo dat straight dogg,0
209,pleas give us connect today lt decim gt refund bill,0
210,shoot big load get readi,0
211,bruv hope great break reward semest,0
212,home alway chat,0
213,k k good studi well,0
214,yup ü noe leh,0
215,sound great home,0
216,final match head toward draw predict,0
217,tire slept well past night,0
218,easi ah sen got select mean good,0
219,take exam march 3,0
220,yeah think use gt atm regist sure anyway help let know sure readi,0
221,ok prob take ur time,0
222,os call ubandu run without instal hard disk use os copi import file system give repair shop,0
223,sorri call later,0
224,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,0
225,500 new mobil 2004 must go txt nokia 89545 collect today 2optout,1
226,would realli appreci call need someon talk,0
227,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign horo ari,1
228,hey compani elama po mudyadhu,0
229,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,0
230,dear good morn,0
231,get gandhipuram walk cross cut road right side lt gt street road turn first right,0
232,dear go rubber place,0
233,sorri batteri die yeah,0
234,ye tv alway avail work place,0
235,text meet someon sexi today u find date even flirt join 4 10p repli name age eg sam 25 18 recd thirtyeight penc,1
236,print oh lt gt come upstair,0
237,ill littl closer like bu stop street,0
238,wil reach,0
239,new theori argument win situat lose person dont argu ur friend kick amp say alway correct,0
240,u 447801259231 secret admir look 2 make contact r reveal think ur 09058094597,1
241,tomarrow final hear laptop case cant,0
242,pleassssssseeeee tel v avent done sportsx,0
243,okay shine meant sign sound better,0
244,although told u dat baig face watch realli like e watch u gave co fr thanx 4 everyth dat u done today touch,0
245,u rememb old commerci,0
246,late said websit dont slipper,0
247,ask call ok,0
248,kalli wont bat 2nd inning,0
249,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep,0
250,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc,1
251,ranjith cal drpd deeraj deepak 5min hold,0
252,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,0
253,,0
254,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff,0
255,back lem know readi,0
256,necessarili expect done get back though headin,0
257,mmm yummi babe nice jolt suzi,0
258,lover need,0
259,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,1
260,park next mini come today think,0
261,yup,0
262,anyway go shop co si done yet dun disturb u liao,0
263,luton 0125698789 ring ur around h,0
264,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698,1
265,dint come us,0
266,wana plan trip sometm,0
267,sure yet still tri get hold,0
268,ur rington servic chang 25 free credit go choos content stop txt club stop 87070 club4 po box1146 mk45 2wt,1
269,evo download flash jealou,0
270,rington club get uk singl chart mobil week choos top qualiti rington messag free charg,1
271,come mu sort narcot situat,0
272,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,0
273,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info,1
274,usf guess might well take 1 car,0
275,object bf come,0
276,thanx,0
277,tell rob mack gf theater,0
278,awesom see bit,0
279,sent type food like,0
280,done hand celebr full swing yet,0
281,got call tool,0
282,wen u miss someon person definit special u person special miss gdeve,0
283,ask money far,0
284,oki,0
285,yeah think usual guy still pass last night get ahold anybodi let know throw,0
286,k might come tonight class let earli,0
287,ok,0
288,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx,0
289,life mean lot love life love peopl life world call friend call world ge,0
290,dear shall mail street shall updat look edukkukaye raksha good one real sens,0
291,hey told name gautham ah,0
292,haf u found feel stupid da v cam work,0
293,oop 4 got bit,0
294,much buzi,0
295,accident delet messag resend pleas,0
296,custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 end c appli,1
297,unless situat go gurl would appropri,0
298,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,0
299,cant pick phone right pl send messag,0
300,need coffe run tomo ca believ time week alreadi,0
301,awesom rememb last time got somebodi high first time diesel v,0
302,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi,0
303,oh way food fridg want go meal tonight,0
304,womdarful actor,0
305,sm ac blind date 4u rodds1 aberdeen unit kingdom check http sm blind date send hide,1
306,yup remb think book,0
307,jo ask u wana meet,0
308,lol ye friendship hang thread caus u wo buy stuff,0
309,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468,1
310,garag key bookshelf,0
311,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,0
312,think ur smart win week weekli quiz text play 85222 cs winnersclub po box 84 m26 3uz,1
313,say give call friend got money definit buy end week,0
314,hi way u 2day normal way real ur uniqu hope know u 4 rest mylif hope u find wot lost,0
315,made day great day,0
316,advanc happi pongal,0
317,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,0
318,realli dude friend afraid,0
319,decemb mobil entitl updat latest colour camera mobil free call mobil updat co free 08002986906,1
320,coffe cake guess,0
321,merri christma babe love ya kiss,0
322,hey dont go watch x men lunch haha,0
323,cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 pete x,0
324,would great guild could meet bristol road somewher get touch weekend plan take flight good week,0
325,problem,0
326,call messag miss call,0
327,hi da today class,0
328,say good sign well know track record read women,0
329,cool text park,0
330,read text sent meant joke read light,0
331,apo movi,0
332,mayb could get book tomo return immedi someth,0
333,call germani 1 penc per minut call fix line via access number 0844 861 85 prepay direct access,1
334,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor,0
335,valentin day special win quiz take partner trip lifetim send go 83600 rcvd,1
336,home babe still,0
337,cool come havent wine dine,0
338,sleep surf,0
339,sorri call later,0
340,u call right call hand phone,0
341,ok great thanx lot,0
342,take post come must 1000 text happi read one wiv hello carolin end favourit bless,0
343,u hide stranger,0
344,interest like,0
345,sister clear two round birla soft yesterday,0
346,gudnit tc practic go,0
347,di yiju ju saw ur mail case huim havent sent u num di num,0
348,one small prestig problem,0
349,fanci shag txt xxuk suzi txt cost per msg tnc websit x,1
350,check realli miss see jeremiah great month,0
351,nah ca help never iphon,0
352,car hour half go apeshit,0
353,today sorri ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good,0
354,yo guy ever figur much need alcohol jay tri figur much safe spend weed,0
355,lt gt ish minut 5 minut ago wtf,0
356,thank say happi onam fine rememb met insur qatar insha ex tata aig join tissco tayseer,0
357,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc,1
358,ur current 500 pound maxim ur send cash 86688 cc 08708800282,1
359,actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday,0
360,hello got st long way cold keep post,0
361,ha ha cool cool chikku chikku,0
362,oh ok prob,0
363,check audrey statu right,0
364,busi tri finish new year look forward final meet,0
365,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,0
366,well know z take care worri,0
367,xma offer latest motorola sonyericsson nokia free bluetooth doubl min 1000 txt orang call mobileupd8 08000839402,1
368,discount code rp176781 stop messag repli stop custom servic 08717205546,1
369,wat uniform get,0
370,cool text readi,0
371,hello boytoy geeee miss alreadi woke wish bed cuddl love,0
372,spoil bed well,0
373,go bath msg next lt gt min,0
374,cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,0
375,thank rington order refer t91 charg gbp 4 per week unsubscrib anytim call custom servic 09057039994,1
376,say happen,0
377,could seen recognis face,0
378,well lot thing happen lindsay new year sigh bar ptbo blue heron someth go,0
379,keep payasam rinu bring,0
380,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,0
381,guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri keep followin,0
382,yeah sure give coupl minut track wallet,0
383,hey leav big deal take care,0
384,hey late ah meet,0
385,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402,1
386,took mr owl 3 lick,0
387,custom place call,0
388,mm time dont like fun,0
389,4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt,1
390,yup lunch buffet u eat alreadi,0
391,huh late fr dinner,0
392,hey sat go intro pilat kickbox,0
393,morn ok,0
394,ye think offic lap room think that last day didnt shut,0
395,pick bout time go,0
396,perform award calcul everi two current one month period,0
397,actual sleep still might u call back text gr8 rock si send u text wen wake,0
398,alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat,0
399,good even sir al salam happi grace god got offer tayseer tissco allah meet visitor india,0
400,hmmm k want chang field quickli da wan na get system administr network administr,0
401,free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone txt stop,1
402,dear chechi talk,0
403,hair cream ship,0
404,none happen til get though,0
405,yep great loxahatche xma tree burn lt gt start hour,0
406,haha get use drive usf man know lot stoner,0
407,well slightli disastr class pm fav darl hope day coffe wld good ca stay late tomorrow time place alway,0
408,hello good week fanci drink someth later,0
409,headin toward busetop,0
410,messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via,0
411,come room point iron plan weekend,0
412,co want thing,0
413,oki go yan jiu skip ard oso go cine den go mrt one blah blah blah,0
414,bring home wendi,0
415,100 date servic cal l 09064012103 box334sk38ch,1
416,whatsup dont u want sleep,0
417,alright new goal,0
418,free entri weekli competit text word win 80086 18 c,1
419,alright head minut text meet,0
420,send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,1
421,ye last week take live call,0
422,someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p,1
423,siva hostel aha,0
424,urgent mobil number award prize guarante call 09058094455 land line claim valid 12hr,1
425,send ur friend receiv someth ur voic speak express attitud lt gt lt gt repli,0
426,guess,0
427,aathi dear,0
428,pain urin thing els,0
429,7 esplanad ü mind give lift co got car today,0
430,wnt buy bmw car urgent vri hv shortag lt gt sourc arng di amt lt gt lac that prob,0
431,home watch tv lor,0
432,usual take fifteen fuck minut respond ye question,0
433,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil close 300603 post bcm4284 ldn wc1n3xx,1
434,book ticket pongal,0
435,avail like right around hillsborough amp lt gt th,0
436,messag sent askin lt gt dollar shoul pay lt gt lt gt,0
437,ask g iouri told stori like ten time alreadi,0
438,long applebe fuck take,0
439,hi hope u get hasnt gd 50 min late think,0
440,like love arrang,0
441,ye realli great bhaji told kalli best cricket sachin world tough get,0
442,suppos wake gt,0
443,oic saw tot din c found group liao,0
444,sorri call later,0
445,hey hey wereth monkeespeopl say monkeyaround howdi gorgeou howu doin foundurself jobyet sausag love jen xxx,0
446,sorri batteri die come get gram place,0
447,well done blimey exercis yeah kinda rememb wot hmm,0
448,wont get concentr dear know mind everyth,0
449,lol made plan new year,0
450,10 min later k,0
451,hank lotsli,0
452,thank hope good day today,0
453,k k detail want transfer acc enough,0
454,ok tell stay yeah tough optimist thing improv month,0
455,loan purpos homeown tenant welcom previous refus still help call free 0800 1956669 text back,1
456,si si think ill go make oreo truffl,0
457,look ami ure beauti intellig woman like u lot know u like like worri,0
458,hope result consist intellig kind start ask practicum link keep ear open best ttyl,0
459,call cost guess isnt bad miss ya need ya want ya love ya,0
460,go thru differ decis cope heal everyth believ,0
461,u go phone gon na die stay,0
462,great never better day give even reason thank god,0
463,upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 offer end 26th juli c appli avail,1
464,sorri call later ok bye,0
465,ok way railway,0
466,great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night,0
467,put stuff road keep get slipperi,0
468,go ride bike,0
469,yup need ju wait 4 e rain 2 stop,0
470,mani compani tell languag,0
471,okmail dear dave final notic collect 4 tenerif holiday 5000 cash award call 09061743806 landlin tc sae box326 cw25wx 150ppm,1
472,long sinc scream princess,0
473,noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also sure trust 9ja person send account detail co,0
474,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network txting moan 69888nyt ec2a 150p,1
475,nice line said broken plz cum 1 time infront wise trust u good 9t,0
476,ok gon na head usf like fifteen minut,0
477,love aathi love u lot,0
478,tension ah machi problem,0
479,k pick anoth 8th done,0
480,guy get back g said think stay mcr,0
481,almost see u sec,0
482,yo carlo friend alreadi ask work weekend,0
483,watch tv lor,0
484,thank babi cant wait tast real thing,0
485,chang fb jaykwon thuglyf falconerf,0
486,win realli 1 side long time,0
487,free messag activ 500 free text messag repli messag word free term condit visit,1
488,dear reach railway happen,0
489,depend qualiti want type sent boy fade glori want ralph mayb 2,0
490,think fix send test messag,0
491,sorri man account dri would want could trade back half could buy shit credit card,0
492,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss,1
493,sorri meet call later,0
494,class lt gt reunion,0
495,free call,0
496,got meh,0
497,nope think go monday sorri repli late,0
498,told accentur confirm true,0
499,kate jackson rec center 7ish right,0
500,dear reach room,0
501,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,0
502,ü come,0
503,check nuerologist,0
504,lolnic went fish water,0
505,congratul week competit draw u prize claim call 09050002311 b4280703 sm 18 150ppm,1
506,wait e car dat bore wat co wait outsid got noth 2 home stuff watch tv wat,0
507,mayb westshor hyde park villag place near hous,0
508,know anthoni bring money school fee pay rent stuff like that need help friend need,0
509,signific,0
510,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli,0
511,8 latest g still scroung ammo want give new ak tri,0
512,prabha soryda reali frm heart sori,0
513,lol ok forgiven,0
514,jst chang tat,0
515,guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h,1
516,competit,0
517,boltblu tone 150p repli poli mono eg poly3 cha cha slide yeah slow jamz toxic come stop 4 tone txt,1
518,credit top http renew pin tgxxrz,1
519,way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri,0
520,usual person unconsci children adult may behav abnorm call,0
521,ebay might less elsewher,0
522,shall come get pickl,0
523,gon na go get taco,0
524,rude campu,0
525,urgent mobil award bonu caller prize 2nd attempt contact call box95qu,1
526,hi wo b ard 4 christma enjoy n merri,0
527,today offer claim ur worth discount voucher text ye 85023 savamob member offer mobil cs 08717898035 sub 16 unsub repli x,1
528,ye pretti ladi like singl,0
529,reciev tone within next 24hr term condit pleas see channel u teletext pg 750,1
530,jay say,0
531,privat 2003 account statement 07815296484 show 800 point call 08718738001 identifi code 41782 expir,1
532,sunday holiday work,0
533,gudnit tc practic go,0
534,late,0
535,call hope l8r malaria know miss guy miss bani big pl give love especi great day,0
536,good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea,0
537,probabl gon na see later tonight lt,0
538,mayb fat finger press button know,0
539,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear,0
540,tirupur da start offic call,0
541,monthlysubscript csc web age16 2stop txt stop,1
542,famou quot develop abil listen uncondit without lose temper self confid mean,0
543,go colleg els ill come self pa,0
544,4 oclock mine bash flat plan,0
545,girl stay bed girl need recoveri time id rather pass fun coop bed,0
546,special,0
547,know need get hotel got invit apologis cali sweet come english bloke weddin,0
548,sorri took long omw,0
549,wait lt gt min,0
550,ok give 5 minut think see btw alibi cut hair whole time,0
551,imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck,0
552,hurri like three day,0
553,sure get acknowledg astoundingli tactless gener faggi demand blood oath fo,0
554,everi night take warm bath drink cup milk see work magic still need loos weight know,0
555,look fri pan case cheap book perhap silli fri pan like book,0
556,well uv caus mutat sunscreen like essenti theseday,0
557,lunch onlin,0
558,know friend alreadi told,0
559,hi princess thank pic pretti,0
560,aiyo u alway c ex one dunno abt mei repli first time u repli fast lucki workin huh got bao ur sugardad ah gee,0
561,hi msg offic,0
562,thanx 4 e browni v nice,0
563,geeeee love much bare stand,0
564,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm,1
565,fuck babe miss alreadi know ca let send money toward net need want crave,0
566,ill call u 2mrw ninish address icki american freek wont stop callin 2 bad jen k eh,0
567,oooh bed ridden ey think,0
568,anyway go gym whatev love smile hope ok good day babe miss much alreadi,0
569,love daddi make scream pleasur go slap ass dick,0
570,wot u wan na missi,0
571,yar lor wait 4 mum 2 finish sch lunch lor whole morn stay home clean room room quit clean hee,0
572,know lab goggl went,0
573,open door,0
574,wait call,0
575,nope wait sch 4 daddi,0
576,cash prize claim call09050000327,1
577,tire argu week week want,0
578,ü wait 4 sch finish ard 5,0
579,mobil number claim call us back ring claim hot line 09050005321,1
580,arngd marriag u r walkin unfortuntli snake bite bt love marriag danc frnt snake amp sayin bite bite,0
581,huh earli ü dinner outsid izzit,0
582,ok anyway need chang said,0
583,tri contact repli offer 750 min 150 textand new video phone call 08002988890 repli free deliveri tomorrow,1
584,abl kid want kid one day,0
585,scotland hope show jjc tendenc take care live dream,0
586,tell u headach want use 1 hour sick time,0
587,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den,0
588,pete pleas ring meiv hardli gotani credit,0
589,ya srsli better yi tho,0
590,meet call later,0
591,ur chanc win wkli shop spree txt shop c custcar 08715705022,1
592,special select receiv 2000 pound award call 08712402050 line close cost 10ppm cs appli ag promo,1
593,privat 2003 account statement 07753741225 show 800 point call 08715203677 identifi code 42478 expir,1
594,still grand prix,0
595,met stranger choos friend long world stand friendship never end let friend forev gud nitz,0
596,great,0
597,gud mrng dear nice day,0
598,import custom servic announc call freephon 0800 542 0825,1
599,exhaust train morn much wine pie sleep well,0
600,go buy mum present ar,0
601,mind blastin tsunami occur rajnik stop swim indian ocean,0
602,u send home first ok lor readi yet,0
603,speak cash yet,0
604,happi come noon,0
605,meet lunch la,0
606,take care n get well soon,0
607,xclusiv clubsaisai 2morow soire special zouk nichol rose 2 ladi info,1
608,meant say cant wait see u get bore bridgwat banter,0
609,neva mind ok,0
